	Marker - Bat Handle			Marker - Bat Hands			Marker - Bat COM			Marker - Bat Top Cap			Marker - Bat Bottom Cap			Virtual Marker - End of Bat			Virtual Marker - Center of Bat		
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
Index	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series
61	-113.027863	380.317017	1203.08313	-210.125916	554.440918	1524.393066	-255.273087	643.742065	1691.586304	-319.039368	750.899597	1904.449829	-342.325623	680.226196	1930.093018	-330.682495	715.562927	1917.271362	-221.855179	547.939941	1560.177246
62	-113.972168	380.204773	1202.595093	-210.901672	554.080322	1524.152222	-255.922821	643.276001	1691.412476	-319.588318	750.246399	1904.386963	-343.037872	679.562927	1929.954224	-331.31308	714.904663	1917.170532	-222.642624	547.554688	1559.882813
63	-114.924477	380.096191	1202.111084	-211.684586	553.731323	1523.909424	-256.579681	642.818115	1691.237427	-320.139679	749.601563	1904.321533	-343.761383	678.900574	1929.810669	-331.950531	714.251038	1917.066162	-223.4375	547.173584	1559.588623
64	-115.87912	379.992615	1201.633545	-212.474701	553.394531	1523.663818	-257.24469	642.368225	1691.060425	-320.693329	748.964966	1904.253296	-344.49588	678.238586	1929.661621	-332.594604	713.601746	1916.95752	-224.236862	546.79718	1559.295532
65	-116.829193	379.895477	1201.165649	-213.272705	553.069702	1523.415283	-257.918854	641.926208	1690.881104	-321.250183	748.33728	1904.182007	-345.240356	677.576843	1929.506226	-333.24527	712.957092	1916.844116	-225.037231	546.42627	1559.004883
66	-117.76889	379.805756	1200.709229	-214.079437	552.75592	1523.163574	-258.602844	641.491882	1690.699463	-321.811646	747.71936	1904.107544	-345.992859	676.915833	1929.343872	-333.902252	712.317566	1916.725708	-225.835571	546.061646	1558.717529
67	-118.696114	379.723022	1200.26416	-214.89566	552.452148	1522.908936	-259.29718	641.065369	1690.515625	-322.379364	747.112549	1904.029541	-346.75061	676.257385	1929.174316	-334.565002	711.684937	1916.601929	-226.630554	545.703979	1558.432983
68	-119.613197	379.645721	1199.828125	-215.721741	552.15686	1522.651001	-260.002258	640.647095	1690.330322	-322.955322	746.519104	1903.948486	-347.510895	675.605591	1928.998047	-335.233093	711.062378	1916.473267	-227.423141	545.354065	1558.150635
69	-120.525482	379.572266	1199.399048	-216.557632	551.86853	1522.389526	-260.718231	640.23761	1690.144409	-323.541687	745.942017	1903.864746	-348.271637	674.966248	1928.815552	-335.906647	710.454163	1916.340088	-228.216064	545.013245	1557.869629
70	-121.438667	379.501251	1198.976196	-217.402985	551.585571	1522.12439	-261.44519	639.837036	1689.958862	-324.139954	745.383667	1903.778809	-349.031494	674.344849	1928.627319	-336.585724	709.864258	1916.203003	-229.012192	544.682739	1557.5896
71	-122.357643	379.431427	1198.559692	-218.257172	551.307251	1521.855713	-262.183228	639.445435	1689.773926	-324.750427	744.844727	1903.690186	-349.7901	673.745605	1928.434204	-337.270264	709.295166	1916.062256	-229.813965	544.363281	1557.311035
72	-123.287086	379.361786	1198.149658	-219.119629	551.033203	1521.583862	-262.932434	639.063049	1689.589722	-325.371765	744.323669	1903.598755	-350.547516	673.17218	1928.236816	-337.959625	708.747925	1915.917725	-230.623352	544.054871	1557.033691
73	-124.232826	379.291656	1197.744751	-219.989746	550.76355	1521.309448	-263.692871	638.689819	1689.40625	-326.002106	743.818176	1903.503784	-351.30426	672.62738	1928.035522	-338.653168	708.222778	1915.769653	-231.443008	543.757202	1556.757202
74	-125.201477	379.220215	1197.343018	-220.866989	550.498596	1521.033081	-264.464722	638.325562	1689.223389	-326.640198	743.326965	1903.40564	-352.061279	672.11377	1927.830444	-339.350739	707.720337	1915.618042	-232.276108	543.470276	1556.480591
75	-126.199242	379.146149	1196.942383	-221.750809	550.238892	1520.755249	-265.247711	637.969971	1689.040771	-327.285889	742.850159	1903.304932	-352.819794	671.633301	1927.621338	-340.052856	707.241699	1915.463135	-233.126053	543.193909	1556.202759
76	-127.231506	379.067322	1196.540405	-222.640854	549.984985	1520.47644	-266.041382	637.62262	1688.858032	-327.939362	742.388794	1903.202026	-353.580963	671.187195	1927.407959	-340.760162	706.788025	1915.304932	-233.995834	542.927673	1555.922607
77	-128.303497	378.981445	1196.13501	-223.537247	549.737366	1520.196899	-266.84491	637.283386	1688.674683	-328.600555	741.943481	1903.097046	-354.345673	670.775452	1927.190186	-341.473114	706.359436	1915.143677	-234.888306	542.67041	1555.639282
78	-129.420471	378.886322	1195.725342	-224.440445	549.496277	1519.916138	-267.657257	636.952515	1688.490356	-329.269104	741.514282	1902.989746	-355.114441	670.396912	1926.967773	-342.191772	705.955627	1914.97876	-235.806122	542.420959	1555.352051
79	-130.587006	378.780304	1195.311523	-225.350952	549.261536	1519.633667	-268.477386	636.630371	1688.305054	-329.944397	741.100525	1902.879395	-355.88736	670.048584	1926.741333	-342.915894	705.574524	1914.810425	-236.75145	542.177429	1555.061035
80	-131.806686	378.66214	1194.894897	-226.268921	549.032898	1519.348633	-269.30423	636.3172	1688.119019	-330.625549	740.701355	1902.765991	-356.664368	669.726257	1926.511597	-343.644958	705.213806	1914.638794	-237.72583	541.937988	1554.766846
81	-133.081696	378.530945	1194.477539	-227.194366	548.809998	1519.061035	-270.136841	636.013123	1687.932251	-331.311432	740.315796	1902.649048	-357.445099	669.424866	1926.280151	-344.378265	704.8703	1914.4646	-238.72998	541.700623	1554.471069
82	-134.411865	378.386719	1194.06189	-228.127426	548.592651	1518.771362	-270.974335	635.718018	1687.744385	-332.001099	739.943176	1902.528809	-358.229309	669.139893	1926.049072	-345.115204	704.541504	1914.28894	-239.763535	541.464111	1554.175415
83	-135.792938	378.231476	1193.651001	-229.068298	548.380554	1518.480713	-271.815735	635.431519	1687.55542	-332.693909	739.583069	1902.404785	-359.017059	668.867798	1925.819824	-345.855499	704.225403	1914.112305	-240.824219	541.228455	1553.881714
84	-137.217072	378.06897	1193.247681	-230.017151	548.173401	1518.189819	-272.660187	635.152893	1687.365356	-333.389526	739.235657	1902.276855	-359.808746	668.606018	1925.59375	-346.599152	703.920837	1913.935303	-241.908112	540.994873	1553.591431
85	-138.675217	377.90329	1192.851685	-230.974121	547.971313	1517.900146	-273.50708	634.881775	1687.174561	-334.088226	738.901855	1902.145142	-360.605225	668.35321	1925.37207	-347.346741	703.627502	1913.758667	-243.010971	540.765381	1553.305176
86	-140.157181	377.73822	1192.460938	-231.939301	547.774902	1517.613159	-274.356567	634.618286	1686.983643	-334.790588	738.583008	1902.009644	-361.407898	668.109192	1925.156372	-348.099243	703.34613	1913.583008	-244.12822	540.542175	1553.021973
87	-141.650482	377.577667	1192.073364	-232.91275	547.5849	1517.330566	-275.2099	634.363159	1686.793213	-335.497437	738.279663	1901.870483	-362.21814	667.874756	1924.94751	-348.857788	703.077209	1913.409058	-245.254135	540.327454	1552.741211
88	-143.141815	377.425385	1191.688843	-233.894531	547.401855	1517.053711	-276.069092	634.117554	1686.603516	-336.209442	737.991272	1901.727417	-363.036743	667.651245	1924.745972	-349.623077	702.821289	1913.236694	-246.382446	540.123352	1552.462769
